risk_id,risk_type,category,priority,definition,key_kpis,likelihood_dataset,likelihood_indicator,likelihood_url,severity_dataset,severity_indicator,severity_url
water_pollution,Water pollution,Priority,1,"Physical and chemical degradation of surface and ground waters from mining-related activities: sediment discharge, acid rock drainage (ARD), heavy metal leaching, process chemical spills, and tailings seepage.","Water use intensity (m3/t); freshwater withdrawal vs discharge ratio; heavy metal concentrations (As, Hg, Pb, Cd); effluent compliance %; tailings seepage rate; pH.",WRI Aqueduct 4.0,Untreated Connected Wastewater (UCW),https://www.wri.org/applications/aqueduct/country-rankings/,WRI Aqueduct 4.0,Coastal Eutrophication Potential (CEP),https://www.wri.org/applications/aqueduct/country-rankings/
water_depletion,Water depletion,Priority,1,"Water withdrawal or consumption exceeding natural replenishment, concentrated in arid or water-stressed basins. Groundwater aquifer drawdown is a particular concern for large-scale mining and processing.","Water withdrawal intensity (m3/t); share of portfolio in High/Extremely High BWS basins; aquifer decline rate (cm/yr); water recycle rate (%).",WRI Aqueduct 4.0,Baseline Water Stress (BWS),https://www.wri.org/applications/aqueduct/country-rankings/,WRI Aqueduct 4.0,Water Depletion (WDS),https://www.wri.org/applications/aqueduct/country-rankings/
tailings,Tailings (mineral waste),Priority,1,"Fine-grained processed waste stored in large tailings storage facilities (TSFs). Failure or chronic seepage releases contaminated slurry containing heavy metals and process reagents into downstream rivers, soils and groundwater.","Volume of tailings per t ore (t/t); count of TSFs and GISTM-conformant %; number and consequence class of TSFs; seepage rate; tailings-related incidents/yr.",Global Tailings Portal (GRID-Arendal),TSF count per country,https://tailing.grida.no,Global Tailings Portal (GRID-Arendal),Max consequence class (Extreme/Very High share),https://tailing.grida.no
waste_pollution,Waste pollution (incl. hazardous substances),Priority,1,"Solid and liquid waste streams (slag, flue dust, sludge, spent refractories, process fluids) whose hazardous properties and management quality determine dispersion of contamination into water, soil and air.","Tonnage hazardous waste generated; chemical concentration; water pH; seepage volume; land footprint; water-to-ore ratio; circular economy metric.",Yale EPI 2024,Waste Management sub-index (inverted),https://epi.yale.edu,UNEP Basel Convention,National hazardous waste generation (kt/yr),http://www.basel.int
biodiversity_species,Biodiversity loss and degradation (species),Priority,1,"Decline or local extinction of species caused by mining and associated infrastructure: habitat destruction, fragmentation, pollution, invasive species, hunting/fishing pressure from access roads.","IUCN-listed threatened/endemic species within buffer zones; hectares of critical habitat disturbed; % sites with biodiversity management plans.",IUCN Red List API,Threatened species count by country,https://apiv3.iucnredlist.org,WDPA (Protected Planet),% national terrestrial area under protection,https://www.protectedplanet.net
biodiversity_ecosystems,Biodiversity loss and degradation (ecosystems),Priority,1,"Degradation of terrestrial and aquatic ecosystems from mining: deforestation, soil erosion, hydrological disruption, and loss of ecosystem services (carbon, water regulation, nutrient cycling).","Area disturbed/converted (ha); deforestation (km2/yr); % sites with restoration plans; ecosystem water quality indicators; proximity to protected areas.",Global Forest Watch (WRI),Tree cover loss rate (%/yr),https://www.globalforestwatch.org,Yale EPI 2024,Ecosystem Vitality sub-index (inverted),https://epi.yale.edu
noise_pollution,Noise pollution (incl. vibration),Priority,1,"Occupational and ambient noise exposure from mining equipment (blasting, drilling, haul trucks, crushers) and processing (furnace fans, shredders). Exceedances trigger hearing loss and community grievances.","dBA 8-hr TWA; workforce exposed >85 dBA; peak noise levels; number of exceedances/violations.",NIOSH Mining Noise (static),Baseline dBA by process/equipment,https://www.cdc.gov/niosh/mining/topics/Noise.html,MSHA Noise Citations (US static),Noise-related citations/penalties,https://www.msha.gov/data-and-reports
air_pollution,Air pollution,Priority,1,"Point-source stack emissions from smelters/refineries and fugitive dust from mining. Key pollutants: SO2, NOx, PM10/PM2.5, heavy metal fumes (As, Pb, Cd, Hg).","SO2/NOx (t/yr); PM10/PM2.5 ambient (mg/m3); dust fallout rate; heavy metal air concentration; number of air quality exceedances.",EC JRC EDGAR,National SO2 + NOx emissions (kt),https://edgar.jrc.ec.europa.eu,WHO Ambient Air Quality DB,Annual mean PM2.5 (ug/m3),https://www.who.int/data/gho/data/themes/air-pollution
soil_pollution,Soil pollution,Priority,1,"Soil contamination from hazardous spills, tailings seepage, and historical heavy metal accumulation. Alters chemistry, reducing agricultural/ecological use, and creates long-term legacy liability.","Significant spill incidents (Cat 3-5); heavy metal soil concentrations (mg/kg); rehabilitation rate (%); hazardous waste tonnage; seepage well deviations.",ISRIC SoilGrids 2.0 + Yale EPI 2024,"Soil vulnerability (pH, SOC, CEC) blended with EPI Heavy Metals",https://soilgrids.org,Yale EPI 2024,Ecosystem Vitality (inverted),https://epi.yale.edu
ghg_emissions,Greenhouse gas emissions,Secondary,2,"CO2, CH4 and N2O emissions from fuel combustion, electricity use, process emissions (smelting), and fugitive methane (coal/oil & gas).","Carbon intensity (tCO2e/t product); energy intensity; absolute Scope 1+2 (tCO2e); methane leak rate.",Climate TRACE,Facility-level GHG emissions,https://climatetrace.org,World Bank,CO2 emissions per capita (country),https://data.worldbank.org
health_risks,Health risks,Secondary,2,"Harm to worker and community health from hazardous exposure, unsafe conditions, and environmental contamination attributable to operations.","TRIR; fatality rate; number of community health incidents; exposure exceedances.",Yale EPI 2024,Environmental Health sub-index (inverted),https://epi.yale.edu,WHO Global Health Observatory,Premature mortality from ambient air pollution,https://www.who.int/data/gho
displacement,Mining-induced displacement and resettlement (MIDR),Secondary,2,"Disruption of lives and livelihoods from displacement tied to mining activity and associated infrastructure.","Land-related grievances; resettlement complaints; use-of-force incidents; # affected households.",World Bank WGI,Government Effectiveness (inverted),https://www.worldbank.org/en/publication/worldwide-governance-indicators,ACLED,Mining-related conflict events per year,https://acleddata.com
physical_instability,Physical instability,Secondary,2,"Failure risk from technical and climate-driven hazards causing long-term disruption to infrastructure and downstream communities.","Extensometer/inclinometer readings; dam stability alerts; flood/seismic exposure.",INFORM Risk Index (EC JRC),Natural hazard exposure,https://drmkc.jrc.ec.europa.eu/inform-index,Global Tailings Portal,Max consequence class,https://tailing.grida.no
